session,fn,idx,sex,audio_caption,emotion,text,Bio,aus,visual_caption
1,Ses01F_impro07,0,M,The speaker sounds happy.,exc,Did you get the letter?,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,1,F,Happy,exc,"Yes.  There's a big envelope it says, you're in. I know.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,2,M,The speaker sounds happy.,exc,Yeah. That is so awesome.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,4,M,The speaker sounds happy.,exc,Oh my God. What are you going to do? [LAUGHTER],"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,5,F,The speaker sounds happy.,exc,So I have to move back to the ghetto but...I know.,"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,6,M,"The first speaker has a female voice, around 25 years old, speaking English with a neutral mood.",exc,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,7,F,The speaker sounds happy.,exc,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,8,M,The speaker sounds happy.,exc,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,9,F,The speaker sounds happy.,exc,"Oh- I know, I know, I know, I know.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,10,F,Neutral,exc,"I don't know.  I spend so much time commuting as it is, I'd rather.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,11,M,The speaker sounds happy.,exc,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,12,F,Happy,exc,I know. We should throw a party.,"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,13,F,"The first speaker is male, speaking English with a neutral mood.",exc,"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,14,M,The speaker sounds happy.,exc,A rapper party ho. Yeah. Okay.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,15,M,A male voice speaking English with a neutral mood.,exc,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
